国家名,日期,确诊病例,死亡病例,康复病例
阿富汗,7/9/20,33898,959,20847
阿富汗,7/10/20,34184,973,20882
阿富汗,7/11/20,34356,996,21135
阿富汗,7/12/20,34441,1012,21216
阿富汗,7/13/20,34595,1040,21254
阿富汗,7/14/20,34730,1064,21454
阿富汗,7/15/20,34984,1096,22456
阿富汗,7/16/20,35060,1117,22824
阿富汗,7/17/20,35219,1149,23151
阿富汗,7/18/20,35279,1166,23273
阿富汗,7/19/20,35453,1183,23634
阿富汗,7/20/20,35493,1185,23741
阿富汗,7/21/20,35605,1188,23741
阿富汗,7/22/20,35717,1192,23924
阿富汗,7/23/20,35918,1213,24550
阿富汗,7/24/20,35978,1227,24602
阿富汗,7/25/20,36026,1249,24793
阿富汗,7/26/20,36147,1261,25180
阿富汗,7/27/20,36253,1271,25198
阿富汗,7/28/20,36358,1272,25358
阿富汗,7/29/20,36463,1273,25389
阿富汗,7/30/20,36532,1283,25471
阿富汗,7/31/20,36665,1284,25509
阿富汗,8/1/20,36700,1285,25509
阿富汗,8/2/20,36701,1286,25510
阿富汗,8/3/20,36737,1290,25669
阿富汗,8/4/20,36773,1290,25669
阿富汗,8/5/20,36820,1296,25742
阿富汗,8/6/20,36928,1301,25840
阿富汗,8/7/20,37006,1310,25903
阿富汗,8/8/20,37046,1315,25960
阿富汗,8/9/20,37083,1321,25960
阿富汗,8/10/20,37153,1329,26228
阿富汗,8/11/20,37260,1346,26415
阿富汗,8/12/20,37336,1356,26694
阿富汗,8/13/20,37422,1365,26714
阿富汗,8/14/20,37497,1370,26714
阿富汗,8/15/20,37542,1371,27166
阿富汗,8/16/20,37590,1376,27166
阿富汗,8/17/20,37667,1378,27166
阿富汗,8/18/20,37710,1382,27166
阿富汗,8/19/20,37750,1384,27166
阿富汗,8/20/20,37852,1386,27681
阿富汗,8/21/20,37885,1386,28016
阿富汗,8/22/20,37944,1386,28016
阿富汗,8/23/20,37990,1388,28180
阿富汗,8/24/20,38045,1390,28360
阿富汗,8/25/20,38061,1398,28440
阿富汗,8/26/20,38103,1402,29042
阿富汗,8/27/20,38119,1402,29046
阿富汗,8/28/20,38130,1403,29059
阿富汗,8/29/20,38133,1403,29063
阿富汗,8/30/20,38155,1403,29089
阿富汗,8/31/20,38159,1403,29089
阿富汗,9/1/20,38193,1407,29231
阿富汗,9/2/20,38243,1410,29315
阿富汗,9/3/20,38288,1410,29390
阿富汗,9/4/20,38304,1410,29713
阿富汗,9/5/20,38324,1410,30082
阿富汗,9/6/20,38398,1413,30537
阿富汗,9/7/20,38494,1416,30557
阿富汗,9/8/20,38520,1419,30715
阿富汗,9/9/20,38544,1421,31048
阿富汗,9/10/20,38572,1421,31129
阿富汗,9/11/20,38606,1421,31154
阿富汗,9/12/20,38641,1421,31234
阿富汗,9/13/20,38716,1421,31638
阿富汗,9/14/20,38772,1427,32073
阿富汗,9/15/20,38815,1428,32098
阿富汗,9/16/20,38855,1438,32503
阿富汗,9/17/20,38872,1438,32505
阿富汗,9/18/20,38897,1439,32576
阿富汗,9/19/20,38919,1439,32576
阿富汗,9/20/20,39044,1443,32576
阿富汗,9/21/20,39074,1446,32576
阿富汗,9/22/20,39096,1447,32576
阿富汗,9/23/20,39145,1448,32610
阿富汗,9/24/20,39170,1453,32619
阿富汗,9/25/20,39186,1453,32619
阿富汗,9/26/20,39192,1455,32635
阿富汗,9/27/20,39227,1455,32642
阿富汗,9/28/20,39239,1458,32642
